,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
938,88036,14000000,"[10402, 18]","['Music', 'Drama']",tt1876451,"[11466, 11341, 11317, 559]","['Akil Productions', 'Stage 6 Films', 'Phoenix Pictures', 'TriStar Pictures']",8/17/12,24637469,116,Sparkle,PG-13,1 hr 56 min,Drama Music,Sparkle (2012),TriStar Pictures,11643342.0,"August 17, 2012 (Domestic)",14000000,24397469,240331.0,24637800.0,2012,14000000,24397469
939,136386,0,"[35, 10749]","['Comedy', 'Romance']",tt1877797,"[25999, 6371, 26000]","['Beactive Entertainment', 'Unstoppable Entertainment', 'New Treatment']",10/5/12,0,92,The Knot,,1 hr 32 min,Comedy Romance,The Knot (2012),,,"October 5, 2012 (United Kingdom)",0,51594,51594.0,,2012,100000,51594
940,130588,0,[],[],tt1879022,[],[],9/14/12,0,78,Pecados,,1 hr 20 min,Drama,Pecados (2011),,,"September 14, 2012 (Spain)",0,10770,10770.0,,2012,100000,10770
941,72766,9000,"[35, 10749, 18]","['Comedy', 'Romance', 'Drama']",tt1880418,[60919],['Marlboro Road Gang Productions'],12/26/11,5000,85,Newlyweds,,1 hr 35 min,Comedy Drama,Newlyweds (2011),Tribeca Film,4584.0,"January 13, 2012 (Domestic)",0,5000,5000.0,,2011,100000,5000
942,68125,0,[35],['Comedy'],tt1883290,"[47208, 8354, 8355, 4676]","['OctoArts Films', 'M-Zet Productions', 'APT Entertainment', 'Star Cinema – ABS-CBN Film Productions']",4/23/11,0,115,Pak! Pak! My Dr. Kwak!,,1 hr 55 min,Comedy Fantasy,Pak! Pak! My Dr. Kwak! (2011),,,"April 23, 2011 (Philippines)",0,1790877,1790877.0,,2011,100000,1790877
943,209838,0,"[18, 9648]","['Drama', 'Mystery']",tt1883400,[],[],9/23/11,0,93,The Purple House,,1 hr 33 min,Horror Mystery Romance Thriller,The Purple House (2011),,,"September 23, 2011 (China)",0,1549982,1549982.0,,2011,100000,1549982
944,73350,0,"[10402, 99]","['Music', 'Documentary']",tt1884431,[150774],['Phear Creative'],6/24/11,0,87,Talihina Sky: The Story of Kings of Leon,,1 hr 27 min,Documentary,Talihina Sky: The Story of Kings of Leon (2011),,,"June 24, 2011 (United Kingdom)",0,145319,145319.0,,2011,100000,145319
945,89284,0,[99],['Documentary'],tt1884438,[],[],11/11/11,0,98,The British Guide to Showing Off,,1 hr 38 min,Biography Comedy Documentary Drama,The British Guide to Showing Off (2011),,,"November 11, 2011 (United Kingdom)",0,15496,15496.0,,2011,100000,15496
946,146578,0,[28],['Action'],tt1884457,"[11049, 6345, 5723, 2090, 5860]","['Caliber Media Company', 'Lighthouse Pictures', 'Pitchblack Pictures Inc.', 'Motion Picture Corporation of America', 'Anchor Bay Films']",11/1/12,1469,93,The Package,R,1 hr 35 min,Action Crime Thriller,The Package (2012),Anchor Bay Films,1095.0,"February 15, 2013 (Domestic)",0,1469,1469.0,,2012,100000,1469
947,62008,0,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt1885265,"[3096, 1632]","['Tyler Perry Studios', 'Lionsgate']",2/23/12,0,111,Good Deeds,PG-13,2 hr 9 min,Comedy Drama Romance,Good Deeds (2012),Lions Gate Films,15583924.0,"February 24, 2012 (Domestic)",0,35025791,553386.0,35579177.0,2012,100000,35025791
948,138222,1500000,"[35, 18]","['Comedy', 'Drama']",tt1885300,[16947],['KODA Entertainment'],10/20/12,1938,90,Best Man Down,PG-13,1 hr 29 min,Comedy Drama,Best Man Down (2012),Magnolia Pictures,1171.0,"November 8, 2013 (Domestic)",0,1938,1938.0,,2012,1500000,1938
