,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
268,,9 min,Short,The Favor 2 (2012),{},tt11703362,,,,
269,,,Comedy,Mark Watson Live (2011),{},tt11705786,,,,
270,,1 hr 26 min,Documentary,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche (2011),"{'Domestic': 86202, 'International': 86202}",tt1172047,Alive Mind Cinema,10304.0,"November 25, 2011 (Domestic)",
271,PG,1 hr 36 min,Adventure Animation Comedy Family,Delhi Safari (2012),"{'Domestic': 3495597, 'International': 3495597}",tt1172587,Applied Art Production,,"October 19, 2012 (India)",
272,,1 hr 32 min,Documentary,How to Live Forever (2009),"{'Domestic': 60630, 'International': 60630}",tt1172957,Variance Films,3716.0,"May 13, 2011 (Domestic)",
273,R,1 hr 46 min,Biography Drama History,The Bang Bang Club (2010),"{'Domestic': 221292, 'International': 221292}",tt1173687,,,"June 23, 2011 (Germany)",
274,,1 hr 36 min,Comedy Drama Romance,The Myth of the American Sleepover (2010),"{'Domestic': 41045, 'International': 597, 'Worldwide': 41642}",tt1174042,IFC Films,8700.0,"July 22, 2011 (Domestic)",
275,,1 hr 17 min,Drama,Djalioh (2011),{},tt11754036,,,,
276,R,1 hr 27 min,Comedy Drama,The Family Tree (2011),"{'Domestic': 6035, 'International': 6035}",tt1175713,Entertainment One,3658.0,"August 26, 2011 (Domestic)",
277,,6 min,Short,I Feel Love (2012),{},tt11766870,,,,
278,,1 hr 23 min,Horror,The Orphan Killer (2011),{},tt1179071,,,,
279,,48 min,Documentary,Alien Reefs (2012),{},tt11795712,,,,
280,,55 min,Drama War,Monash: The Forgotten Anzac (2008),{},tt1181609,,,,
281,,2 hr 9 min,Drama Romance,Wuthering Heights (2011),"{'Domestic': 100915, 'International': 1641300, 'Worldwide': 1742215}",tt1181614,Oscilloscope,8956.0,"November 11, 2011 (United Kingdom)",
282,PG-13,2 hr 24 min,Biography Documentary Music,Marley (2012),"{'Domestic': 1413480, 'International': 2429439, 'Worldwide': 3842919}",tt1183919,Magnolia Pictures,262004.0,"April 20, 2012 (EMEA, Domestic)",
283,,1 hr 35 min,Family Fantasy Horror,The Great Ghost Rescue (2011),{},tt1185244,,,,
