id,name,known_for_dept,popularity
120725,Yu Rongguang,Acting,10.399
27740,Walton Goggins,Acting,22.65
554278,Brandon Merrill,Acting,3.685
25527,Jason Connery,Acting,13.173
43933,Adrien Dorval,Acting,2.214
123972,Stacy Grant,Acting,6.317
119757,Kate Luyben,Acting,3.702
39829,Henry O,Acting,2.125
211568,Simon Baker,Acting,3.237
52703,Alan C. Peterson,Acting,4.863
180467,Rad Daly,Acting,1.528
87739,Eliza Norbury,Acting,7.204
114697,Eric Chen,Acting,0.766
554279,Cui Ya Hui,Acting,0.6
96322,Rafael Báez,Acting,1.804
222559,Russell Badger,Acting,0.603
25414,Jody Thompson,Acting,2.048
1488616,Kendall Saunders,Acting,0.732
1312909,Christy Greene,Acting,0.657
62414,Yuen Biao,Acting,9.083
1404732,Larry Lam,Crew,0.802
7088,Sam Simon,Writing,2.761
46076,Tom Dey,Directing,5.337
23678,Michael Jordan,Acting,4.559
1177525,Phil Jackson,Acting,1.856
160042,Bob Costas,Acting,5.967
1532,Bill Murray,Acting,15.856
2975,Laurence Fishburne,Acting,23.505
1214267,"Ken Griffey, Jr.",Acting,1.153
5281,Spike Lee,Directing,4.99
1533747,Steve Kerr,Acting,3.16
1286312,Doug Collins,Acting,1.107
2490334,Deloris Jordan,Acting,1.016
3768062,Fred Lynch,Acting,0.6
3768073,Bob Greene,Acting,0.98
1477240,David Falk,Acting,0.859
1866063,Dean Smith,Acting,0.6
3768081,Johnny Kerr,Acting,0.6
3768085,Walter Iooss Jr.,Acting,0.6
52159,James D. Stern,Production,1.676
92935,Don Kempf,Production,1.934
1204,Julia Roberts,Acting,18.283
3926,Albert Finney,Acting,9.904
6383,Aaron Eckhart,Acting,18.025
19838,Marg Helgenberger,Acting,12.362
1956,Cherry Jones,Acting,6.928
26719,Veanne Cox,Acting,5.243
1909,Conchata Ferrell,Acting,13.069
3801,Tracey Walter,Acting,6.357
9979,Peter Coyote,Acting,7.879
1214447,Michael Harney,Acting,8.652
1219316,Scarlett Pomers,Acting,9.179
20093,Scotty Leavenworth,Acting,2.13
79073,Gina Gallego,Acting,4.691
151263,T.J. Thyne,Acting,6.58
6321,Valente Rodriguez,Acting,4.003
1248986,Erin Brockovich,Acting,1.604
6310,David Brisbin,Acting,2.855
6317,Dawn Didawick,Acting,1.403
6324,George Rocky Sullivan,Acting,0.6
6326,Pat Skipper,Acting,7.735
6328,Jack Gill,Crew,1.507
6329,Irene Olga López,Acting,4.011
2813417,Emily Marks,Acting,0.6
2813418,Julie Marks,Acting,0.6
51609,Gemmenne de la Peña,Acting,2.158
154114,Adilah Barnes,Acting,1.53
2813419,Irina V. Passmoore,Acting,0.6
2813420,Ron Altomare,Acting,0.6
1681341,Charles John Bukey,Camera,0.6
155626,Randy Lowell,Acting,2.658
86919,Jamie Harrold,Acting,4.687
2721136,Sarah Ashley,Acting,0.6
141762,Joe Chrest,Acting,4.47
2723866,Meredith Zinner,Acting,0.976
131725,William Lucking,Acting,5.263
91495,Mimi Kennedy,Acting,5.347
32287,Scott Sowers,Acting,4.04
20091,Kristina Malota,Acting,1.809
51930,Wade Williams,Acting,12.347
21145,Cordelia Richards,Acting,4.824
2813424,Ashley Pimental,Acting,1.048
2813425,Brittany Pimental,Acting,0.6
2813426,Larry Martinez,Acting,0.6
2813427,LeRoy A. Simmons,Acting,0.6
2812640,Don Snell,Acting,0.721
5381,Michael Shamberg,Production,0.766
1869309,Ronald E. Hairston,Crew,0.6
80481,Scott Allen,Acting,0.764
31529,Sheila Shaw,Acting,2.341
177623,Matthew Kimbrough,Acting,2.824
2813428,Jason Cervantes,Acting,0.6
121277,Norma Maldonado,Acting,1.111
1199564,Mike Malone,Acting,2.381
553735,Tom Tangen,Acting,1.48
2755726,Julie Wagner,Acting,0.927
1884,Steven Soderbergh,Directing,4.949
2231,Samuel L. Jackson,Acting,28.725
27011,Vanessa Williams,Acting,12.638
2954,Jeffrey Wright,Acting,14.827
3894,Christian Bale,Acting,31.822
6485,Busta Rhymes,Acting,4.086
6486,Dan Hedaya,Acting,10.707
3051,Toni Collette,Acting,22.1
6487,Richard Roundtree,Acting,7.82
31839,Ruben Santiago-Hudson,Acting,4.589
14792,Josef Sommer,Acting,5.477
71266,Lynne Thigpen,Acting,5.664
6541,Philip Bosco,Acting,1.339
3798,Pat Hingle,Acting,6.875
6906,Lee Tergesen,Acting,6.534
2349915,Francisco 'Coqui' Taveras,Acting,0.6
203683,Sonja Sohn,Acting,9.513
19489,Peter McRobbie,Acting,5.337
7471,Zach Grenier,Acting,3.834
2349917,Richard Cocchiaro,Acting,0.6
1956109,Ron Castellano,Acting,1.786
2349920,Freddie Ricks,Acting,0.6
1645223,Sixto Ramos,Acting,1.645
74957,Andre Royo,Acting,2.969
171697,Richard Barboza,Acting,0.6
327,Mekhi Phifer,Acting,11.1
105248,Gano Grills,Acting,1.843
10130,Catherine Kellner,Acting,1.909
2507509,Philip Rudolph,Acting,0.6
80542,Angela Pietropinto,Acting,3.063
171615,Joe Quintero,Acting,0.6
164433,Lanette Ware,Acting,4.535
164250,Stu 'Large' Riley,Acting,3.605
164036,Mark Zeisler,Acting,1.341
2349923,Capital Jay,Acting,0.6
104789,Bonz Malone,Acting,2.005
2507511,Henry G. Thomas,Acting,0.6
2507512,Brian Oswald Talbot,Acting,0.6
2479046,Preston Thomas,Acting,0.6
2507513,Marshall T. Broughton,Acting,0.614
2507514,Ann Ducati,Acting,0.6
2507515,Lisa Cooley,Acting,0.6
9281,Elizabeth Banks,Acting,27.136
1510712,Scott Lucy,Acting,0.6
2390953,Chris Orr,Camera,0.6
148654,Christopher Orr,Acting,2.73
180084,Evan Farmer,Acting,0.6
87927,Will Chase,Acting,3.318
90576,Jeff Branson,Acting,4.177
1217612,Jerome Preston Bates,Acting,1.006
122243,John Elsen,Acting,3.013
1818570,Nadine Mozon,Acting,1.0
185731,Lawrence Taylor,Acting,0.789
154698,Caprice Benedetti,Acting,4.02
167561,John Cunningham,Acting,2.681
359229,Louie Leonardo,Acting,1.237
2310411,Tony Rhune,Acting,0.6
1212783,Fidel Vicioso,Acting,0.708
84064,F. Valentino Morales,Acting,1.898
1237384,Myron Primes,Acting,1.011
185713,Universal,Acting,0.6
2507517,Travis Brandon Rosa,Acting,0.6
2507518,Matthew Wallace,Acting,0.6
2507519,Luis Torres,Acting,0.6
1218128,John Wojda,Acting,1.671
2507520,Ahmed Al-Khan,Acting,0.6
2136665,Amer Al-Khan,Crew,0.6
2507521,Rashid Feleyfel,Acting,0.6
6558,Gordon Parks,Directing,5.891
1900677,Joan Baker,Acting,0.608
164021,William H. Burns,Acting,1.367
2554355,Gabe Castillo,Acting,0.6
